Date,Altitude,Azimuth
01/01,31.2,184.26
01/06,31.71,183.68
01/11,32.41,183.14
01/16,33.27,182.67
01/21,34.3,182.26
01/26,35.48,181.93
01/31,36.79,181.7
02/05,38.24,181.55
02/10,39.8,181.51
02/15,41.46,181.58
02/20,43.2,181.75
02/25,45.02,182.03
03/01,46.89,182.42
03/06,48.8,182.93
03/11,50.73,183.55
03/16,52.68,184.29
03/21,54.63,185.12
03/26,56.56,186.06
03/31,58.47,187.09
04/05,60.33,188.21
04/10,62.14,189.41
04/15,63.89,190.67
04/20,65.57,191.97
04/25,67.17,193.29
04/30,68.67,194.6
05/05,70.08,195.88
05/10,71.38,197.07
05/15,72.57,198.15
05/20,73.64,199.04
05/25,74.59,199.71
05/30,75.4,200.11
06/04,76.08,200.21
06/09,76.61,199.97
06/14,76.98,199.41
06/19,77.19,198.53
06/24,77.24,197.41
06/29,77.11,196.15
07/04,76.8,194.83
07/09,76.33,193.56
07/14,75.68,192.4
07/19,74.87,191.41
07/24,73.9,190.63
07/29,72.78,190.05
08/03,71.53,189.69
08/08,70.15,189.5
08/13,68.66,189.45
08/18,67.07,189.52
08/23,65.38,189.68
08/28,63.62,189.91
09/02,61.78,190.18
09/07,59.89,190.47
09/12,57.95,190.75
09/17,55.99,191.01
09/22,54,191.24
09/27,52.01,191.43
10/02,50.03,191.58
10/07,48.07,191.67
10/12,46.15,191.69
10/17,44.28,191.64
10/22,42.48,191.52
10/27,40.75,191.33
11/01,39.13,191.07
11/06,37.61,190.75
11/11,36.21,190.35
11/16,34.94,189.89
11/21,33.83,189.37
11/26,32.87,188.81
12/01,32.08,188.21
12/06,31.46,187.57
12/11,31.03,186.91
12/16,30.79,186.24
12/21,30.73,185.57
12/26,30.86,184.92